No,Service_type,Cost_Type,Product_Group,Serial_No,City,Product_Date,Receipt_Date,Appoint_Date,Complete_Date,TAT01,TAT02,Job_Satus,Defect_Des,Symptom_Desc,Repair_Action_Desc,Labor_Charge_Desc,Engineer,Labor_Charge_Amount,Parts_Amount,Discount_Amount,Total_Invoice_Amount
507,0,Normal Warranty,LED40,IP2JQ2/42742,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
508,0,Out of Warranty,PRINTER - MONO LAS,2P7IPBAAZ2EA4-F,Tehran,40187,12/30/2012,12/31/2012,1/1/2013,1,2,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Medium,Tech20,240000,0,48000,182000
509,0,Normal Warranty,LCD-40,IP2JRIP/QE442,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
510,0,Extended Warranty,HARD DISK DRIVE,S2DKJ2GZB/24QE,Tehran,40188,12/30/2012,1/1/2013,1/1/2013,2,2,1,WORN-OUT,OTHER PROBLEMS,REPAIR REFUSAL,Minimum,Tech07,50000,0,10000,40000
511,0,Out of Warranty,AUDIO - MP3 Player,2/ZZIP/T2,Tehran,,12/30/2012,12/31/2012,1/13/2013,1,14,1,SHORT,NO AUDIO,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech08,170000,0,34000,136000
512,1,Normal Warranty,LED46,IP2JRC/KLQE4/,Tehran,,12/30/2012,12/30/2012,1/7/2013,0,8,1,WORN-OUT,OTHER PROBLEMS,SCRAP,Free Of Charge,Tech10,0,0,0,0
513,0,Normal Warranty,DVD PLAYER,ZT2QARDCA/IP474D,Tehran,,12/30/2012,12/30/2012,1/5/2013,0,6,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech14,170000,0,34000,136000
514,0,Out of Warranty,DIGITAL CAMERA,A/HIPCN/CAE/ZTH,Tehran,33870,12/30/2012,1/1/2013,1/2/2013,2,3,1,DEFORMED,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech11,400000,0,80000,320000
515,0,Out of Warranty,MONITOR - TFT LCD ,H2MMAEKL242,Tehran,38082,12/30/2012,12/31/2012,1/19/2013,1,20,0,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech16,0,0,0,0
516,0,Out of Warranty,DIGITAL CAMERA,77/AC2/ZBE/AKLL,Tehran,40188,12/30/2012,12/31/2012,1/5/2013,1,6,0,DEFORMED,OTHER PROBLEMS,MECHANICAL PARTS REPLACEMENT,Major,Tech11,250000,0,50000,200000
517,1,Out of Warranty,LCD- 46,IP2JQ2/-IP-QE,Tehran,,12/30/2012,1/20/2013,1/21/2013,21,22,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Minor,Tech15,215000,18768046.76,3886608.352,15886437.41
518,1,Normal Warranty,LED46,IP2JRC/-A-KL2,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,DEFORMED,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech10,420000,686523.32,223304.664,883218.656
519,1,Normal Warranty,LED40,IP2JR7/4ZIPKL,Tehran,,12/30/2012,1/27/2013,1/28/2013,28,28,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech15,420000,27357587.28,5555517.456,22222068.82
520,1,Normal Warranty,PLASMA-51,IP2JR2/-Z4A,Tehran,,12/30/2012,12/30/2012,1/9/2013,0,10,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech10,540000,16583682.24,3424736.448,13688845.78
521,1,Normal Warranty,LCD-40,IP2JRA/77/7IP,Tehran,,12/30/2012,12/31/2012,1/8/2013,1,8,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech10,420000,14681512.8,3020302.56,12081210.24
522,1,Normal Warranty,PLASMA-51,IP2JRB/-7242,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,Defective Date Mode,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech08,540000,14210303.4,2850060.68,11800242.72
523,0,Normal Warranty,PRINTER - MONO LAS,GS2ABNKZ2/A442Z,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Medium,Tech20,240000,0,48000,182000
524,0,Out of Warranty,OVEN - MICROWAVE,/KLIP27DGL2EIP4AK,Tehran,38725,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Minor,Tech17,150000,71132.76,44226.552,176806.208
